,abs_mean,abs_max,rel_mean,rel_max,FD_mean,FD_max
CU0002CUMR1R1,15.33,76.56,17.65,69.85,11.93,73.28
CU0014CUMR1R1,6.07,29.29,7.57,29.82,2.78,36.48
CU0016CUMR1R1,2.62,11.91,3.93,15.67,3.69,30.76
CU0024CUMR1R1,5.87,28.41,7.53,29.72,5.29,30.09
CU0025CUMR1R1,4.07,18.98,6.18,24.61,4.56,36.47
CU0029CUMR1R1,7.32,33.14,8.31,33.09,5.44,51.39
CU0033CUMR1R1,6.31,30.49,7.24,28.64,2.79,29.66
CU0034CUMR1R1,4.92,23.23,5.8,23.05,4.93,51.74
CU0036CUMR1R1,5.26,24.13,6.22,24.69,3.86,41.48
CU0039CUMR1R1,8.81,46.09,13.05,51.39,12.57,57.85
CU0040CUMR1R1,5.31,24.96,6.92,27.53,5.62,49.58
CU0046CUMR1R1,6.91,33.01,8.07,31.89,3.93,41.14
CU0047CUMR1R1,4.65,21.13,5.3,21.14,2.87,35.43
CU0051CUMR1R1,5.84,26.49,6.7,26.74,5.12,41.15
CU0052CUMR1R1,4.96,22.75,5.24,20.8,3.34,38.89
CU0056CUMR1R1,6.77,31.35,7.08,27.99,7.07,41.25
CU0057CUMR1R1,5.59,25.97,6.35,25.24,5.34,75.2
CU0059SBMR1R1,4.86,24.15,6.2,24.22,1.78,30.77
CU0060SBMR1R1,4.59,21.97,5.46,21.26,1.61,27.38
CU0061SBMR1R1,5.19,24.89,6.26,24.79,2.98,34.43
CU0067CUMR1R1,12.03,63.45,16.22,64.52,4.09,47.95
CU0069CUMR1R1,18.02,84.19,20.14,80.38,13.89,106.6
CU0070CUMR1R1,16.21,75.33,19.61,78.15,13.33,127.21
CU0071CUMR1R1,17.68,84.07,22.26,88.87,9.1,102.92
CU0072CUMR1R1,21.48,112.4,28.55,113.79,8.42,88.57
CU0074CUMR1R1,34.1,175.5,46.66,185.5,21.89,163.03
CU0077CUMR1R1,21.87,100.9,26.68,106.51,13.48,126.15
CU0078CUMR1R1,22.07,112.5,27.11,107.97,7.44,120.29
CU0081CUMR1R1,17.11,82.07,20.26,80.81,15.99,124.89
CU0082CUMR1R1,21.79,102.5,26.68,106.51,15.56,159.26
CU0083CUMR1R1,14.82,69.45,17.29,69.05,14.23,103.27
CU0085CUMR1R1,19.11,92.18,22.97,91.7,12.72,150.8
CU0087CUMR1R1,12.07,55.03,16.78,67.01,20.13,118.43
CU0089CUMR1R1,29.02,136.0,28.29,112.69,18.31,122.86
CU0090CUMR1R1,23.32,107.6,26.09,104.19,8.42,79.96
CU0092CUMR1R1,13.37,62.23,16.41,65.37,10.69,102.65
CU0093CUMR1R1,11.69,52.71,16.64,66.49,10.94,122.78
CU0094CUMR1R1,25.57,135.9,32.49,129.49,11.12,95.12
CU0095CUMR1R1,14.91,67.45,17.43,69.65,10.55,94.42
CU0097CUMR1R1,19.76,92.45,20.4,81.44,8.57,102.4
CU0100CUMR1R1,24.73,118.5,29.66,117.86,10.93,116.85
CU0102CUMR1R1,20.8,102.3,26.29,104.72,12.98,92.78
CU0103CUMR1R1,18.82,86.81,22.46,89.61,18.5,229.82
CU0104CUMR1R1,13.3,64.63,14.21,56.65,20.9,144.03
CU0105CUMR1R1,14.68,69.65,16.98,67.74,8.28,81.84
CU0106CUMR1R1,21.29,97.76,22.29,88.89,22.67,127.36
CU0108CUMR1R1,27.68,144.8,36.29,144.17,9.44,118.78
CU0110CUMR1R1,16.68,80.14,18.41,73.29,8.1,74.87
CU0113CUMR1R1,38.63,186.3,44.18,176.28,14.9,174.35
CU0115CUMR1R1,18.04,89.72,24.37,96.96,19.85,123.63
CU0117CUMR1R1,10.81,51.63,13.85,55.14,14.98,78.62
CU0119CUMR1R1,12.07,56.63,15.92,63.4,12.51,91.67
CU0120CUMR1R1,19.7,90.43,21.67,86.57,14.37,121.3
CU0125CUMR1R1,16.51,82.26,20.61,81.91,5.56,93.94
CU0126CUMR1R1,13.54,61.67,15.94,63.65,8.8,88.2
CU0128CUMR1R1,13.88,67.36,20.33,80.96,9.67,95.15
CU0129CUMR1R1,22.13,110.8,28.86,114.8,5.72,77.81
CU0130CUMR1R1,20.32,95.7,24.12,96.13,18.3,134.23
CU0131CUMR1R1,18.19,92.17,23.15,92.03,8.69,182.89
