subjid cohort abs_mean abs_max rel_mean rel_max
CU0002CUMR1R1 1 0.382 0.965 0.092 0.295
CU0004CUMR1R1 2 0.067 0.150 0.007 0.031
CU0007CUMR1R1 2 0.185 0.431 0.021 0.151
CU0013CUMR1R1 2 0.127 0.345 0.021 0.140
CU0014CUMR1R1 1 0.150 0.335 0.027 0.122
CU0016CUMR1R1 1 0.083 0.207 0.018 0.070
CU0017CUMR1R1 2 0.103 0.219 0.021 0.088
CU0019CUMR1R1 2 0.275 0.619 0.025 0.293
CU0023CUMR1R1 2 0.348 0.870 0.084 0.353
CU0024CUMR1R1 1 0.085 0.230 0.011 0.057
CU0025CUMR1R1 1 0.103 0.248 0.034 0.127
CU0026CUMR1R1 2 0.337 0.874 0.029 0.241
CU0028CUMR1R1 2 0.082 0.168 0.023 0.095
CU0029CUMR1R1 1 0.053 0.149 0.012 0.117
CU0031CUMR1R1 2 0.115 0.342 0.032 0.191
CU0033CUMR1R1 1 0.211 0.519 0.021 0.167
CU0034CUMR1R1 1 0.083 0.214 0.013 0.050
CU0036CUMR1R1 1 0.095 0.236 0.017 0.093
CU0039CUMR1R1 1 0.180 0.631 0.048 0.341
CU0040CUMR1R1 1 0.110 0.370 0.043 0.254
CU0046CUMR1R1 1 0.186 0.333 0.016 0.074
CU0047CUMR1R1 1 0.075 0.178 0.016 0.055
CU0051CUMR1R1 1 0.117 0.401 0.024 0.182
CU0052CUMR1R1 1 0.091 0.510 0.019 0.299
CU0056CUMR1R1 1 0.114 0.226 0.010 0.047
CU0057CUMR1R1 1 0.140 0.926 0.054 0.849
CU0059SBMR1R1 1 0.292 0.695 0.021 0.384
CU0060SBMR1R1 1 0.153 0.540 0.012 0.062
CU0061SBMR1R1 1 0.182 0.508 0.030 0.101
CU0067CUMR1R1 1 0.461 1.116 0.024 0.119
CU0069CUMR1R1 1 0.112 0.286 0.030 0.133
CU0070CUMR1R1 1 0.106 0.235 0.031 0.124
CU0071CUMR1R1 1 0.151 0.306 0.009 0.036
CU0072CUMR1R1 1 0.266 0.625 0.016 0.051
CU0074CUMR1R1 1 0.403 0.894 0.046 0.245
CU0077CUMR1R1 1 0.185 0.814 0.016 0.103
CU0078CUMR1R1 1 0.162 0.365 0.008 0.073
CU0081CUMR1R1 1 0.099 0.271 0.028 0.092
