cohort subjid reg_qc
CU0002CUMR1R1 1 0.7297
CU0004CUMR1R1 2 0.5604
CU0007CUMR1R1 2 0.7535
CU0013CUMR1R1 2 0.7744
CU0014CUMR1R1 1 0.6543
CU0016CUMR1R1 1 0.6544
CU0017CUMR1R1 2 0.6734
CU0019CUMR1R1 2 0.5884
CU0023CUMR1R1 2 0.7976
CU0024CUMR1R1 1 0.7338
CU0025CUMR1R1 1 0.9512
CU0026CUMR1R1 2 0.8389
CU0028CUMR1R1 2 0.6909
CU0029CUMR1R1 1 0.6968
CU0031CUMR1R1 2 0.8145
CU0033CUMR1R1 1 0.6824
CU0034CUMR1R1 1 0.7683
CU0036CUMR1R1 1 0.8321
CU0039CUMR1R1 1 0.7046
CU0040CUMR1R1 1 0.8203
CU0046CUMR1R1 1 0.6686
CU0047CUMR1R1 1 0.7285
CU0051CUMR1R1 1 0.6172
CU0052CUMR1R1 1 0.7981
CU0056CUMR1R1 1 0.5968
CU0057CUMR1R1 1 0.7126
CU0059SBMR1R1 1 0.5048
CU0060SBMR1R1 1 0.4177
CU0061SBMR1R1 1 0.4361
CU0067CUMR1R1 1 0.9144
CU0069CUMR1R1 1 0.9611
CU0070CUMR1R1 1 0.9069
CU0071CUMR1R1 1 0.7943
CU0072CUMR1R1 1 0.8450
CU0074CUMR1R1 1 0.7903
CU0077CUMR1R1 1 0.8380
CU0078CUMR1R1 1 0.8427
CU0081CUMR1R1 1 0.8058
CU0082CUMR1R1 1 0.7207
CU0083CUMR1R1 1 0.7344
CU0085CUMR1R1 1 0.8714
CU0087CUMR1R1 1 0.9820
CU0089CUMR1R1 1 0.8686
CU0090CUMR1R1 1 0.7986
CU0092CUMR1R1 1 0.9918
CU0093CUMR1R1 1 0.7607
CU0094CUMR1R1 1 0.9148
CU0095CUMR1R1 1 0.9680
CU0097CUMR1R1 1 0.7731
CU0100CUMR1R1 1 0.7259
CU0102CUMR1R1 1 0.8645
CU0103CUMR1R1 1 0.8148
CU0104CUMR1R1 1 0.9677
CU0105CUMR1R1 1 0.9092
CU0106CUMR1R1 1 0.9138
CU0108CUMR1R1 1 0.6897
CU0110CUMR1R1 1 0.8894
CU0113CUMR1R1 1 0.8804
CU0115CUMR1R1 1 0.8856
CU0117CUMR1R1 1 0.9373
CU0119CUMR1R1 1 0.8685
CU0120CUMR1R1 1 0.8207
CU0125CUMR1R1 1 0.8783
CU0126CUMR1R1 1 0.8750
CU0128CUMR1R1 1 0.8756
CU0129CUMR1R1 1 0.8831
CU0130CUMR1R1 1 0.9344
CU0131CUMR1R1 1 0.9643
CU0133CUMR1R1 1 0.8783
MG0001MGMR1R1 2 0.5067
MG0002MGMR1R1 2 0.5439
MG0003MGMR1R1 2 0.4634
MG0004MGMR1R1 2 0.4572
MG0005MGMR1R1 2 0.4256
MG0006MGMR1R2 2 0.5595
MG0007MGMR1R1 2 0.5460
MG0008MGMR1R1 2 0.4860
MG0018MGMR1R1 1 0.5195
MG0020MGMR1R1 2 0.4961
MG0021MGMR1R1 1 0.5206
MG0025MGMR1R1 2 0.4232
MG0026MGMR1R1 2 0.4632
MG0028MGMR1R1 2 0.5145
MG0030MGMR1R1 2 0.4708
MG0032MGMR1R1 1 0.5469
MG0039MGMR1R1 1 0.6249
MG0040MGMR1R1 2 0.4960
MG0060MGMR1R1 1 0.5336
MG0064MGMR1R1 1 0.4363
MG0069MGMR1R1 1 0.5228
MG0076MGMR1R1 1 0.3914
MG0081MGMR1R1 2 0.6345
MG0101MGMR1R1 1 0.5508
MG0106MGMR1R1 1 0.4588
MG0112MGMR1R1 1 0.4358
MG0116MGMR1R1 1 0.4175
MG0125MGMR1R1 1 0.5132
MG0126MGMR1R1 1 0.5298
MG0135MGMR1R1 1 0.5415
MG0137MGMR1R1 1 0.7158
MG0138MGMR1R1 1 0.5626
MG0152MGMR1R1 1 0.5243
MG0158MGMR1R1 1 0.5387
MG0164MGMR1R1 1 0.5782
MG0168MGMR1R1 1 0.3883
MG0172MGMR1R1 1 0.5120
MG0185MGMR1R1 1 0.4730
MG0187MGMR1R1 1 0.4725
MG0213MGMR1R1 1 0.4872
MG0218MGMR1R1 1 0.5256
MG0228MGMR1R1 1 0.4448
MG0231MGMR1R1 1 0.5586
MG0238MGMR1R1 1 0.5731
MG0239MGMR1R1 1 0.4624
MG0242MGMR1R1 1 0.4178
MG0246MGMR1R1 1 0.5463
MG0251MGMR1R1 1 0.6042
MG0256MGMR1R1 1 0.4911
MG0257MGMR1R1 1 0.4906
MG0261MGMR1R1 1 0.4908
