,SNR
CU0002CUMR1R1,0.649097442627
CU0014CUMR1R1,0.608861625195
CU0016CUMR1R1,0.606453716755
CU0024CUMR1R1,0.61716157198
CU0025CUMR1R1,0.533689975739
CU0029CUMR1R1,0.635543823242
CU0033CUMR1R1,0.610000967979
CU0034CUMR1R1,0.622604072094
CU0036CUMR1R1,0.746182620525
CU0039CUMR1R1,0.56828635931
CU0040CUMR1R1,0.544750988483
CU0046CUMR1R1,0.650003194809
CU0047CUMR1R1,0.598356366158
CU0051CUMR1R1,0.588970661163
CU0052CUMR1R1,0.552428483963
CU0056CUMR1R1,0.67346572876
CU0057CUMR1R1,0.620676100254
CU0059SBMR1R1,0.591680943966
CU0060SBMR1R1,0.595665991306
CU0061SBMR1R1,0.64909529686
CU0067CUMR1R1,0.619133532047
CU0069CUMR1R1,0.607917785645
CU0070CUMR1R1,0.610263109207
CU0071CUMR1R1,0.64076924324
CU0072CUMR1R1,0.598528206348
CU0074CUMR1R1,0.632392525673
CU0077CUMR1R1,0.62600004673
CU0078CUMR1R1,0.601345658302
CU0081CUMR1R1,0.720427811146
CU0082CUMR1R1,0.665580034256
CU0083CUMR1R1,0.621390998363
CU0085CUMR1R1,0.5803206563
CU0087CUMR1R1,0.551693379879
CU0089CUMR1R1,0.645813286304
CU0090CUMR1R1,0.625378847122
CU0092CUMR1R1,0.584415376186
CU0093CUMR1R1,0.677235841751
CU0094CUMR1R1,0.649094283581
CU0095CUMR1R1,0.615056753159
CU0097CUMR1R1,0.612534701824
CU0100CUMR1R1,0.589407444
CU0102CUMR1R1,0.709558069706
CU0103CUMR1R1,0.632694959641
CU0104CUMR1R1,0.57088804245
CU0105CUMR1R1,0.605396807194
CU0106CUMR1R1,0.617679834366
CU0108CUMR1R1,0.615005135536
CU0110CUMR1R1,0.641040086746
CU0113CUMR1R1,0.618450045586
CU0115CUMR1R1,0.621781229973
CU0117CUMR1R1,0.617650926113
CU0119CUMR1R1,0.631532669067
CU0120CUMR1R1,0.675137400627
CU0125CUMR1R1,0.602496862411
CU0126CUMR1R1,0.609946668148
CU0128CUMR1R1,0.590274453163
CU0129CUMR1R1,0.627119958401
CU0130CUMR1R1,0.630783498287
CU0131CUMR1R1,0.574305891991
CU0133CUMR1R1,0.549159049988
MG0018MGMR1R1,0.615932643414
MG0021MGMR1R1,0.659670770168
MG0032MGMR1R1,0.658268511295
MG0039MGMR1R1,0.596686780453
MG0060MGMR1R1,0.662796199322
MG0064MGMR1R1,0.656668543816
MG0069MGMR1R1,0.714262604713
MG0076MGMR1R1,0.728375256062
MG0101MGMR1R1,0.69652402401
MG0106MGMR1R1,0.660392284393
MG0112MGMR1R1,0.612887740135
MG0116MGMR1R1,0.677329361439
MG0125MGMR1R1,0.633480191231
MG0126MGMR1R1,0.615635335445
MG0135MGMR1R1,0.575568020344
MG0137MGMR1R1,0.535640597343
MG0138MGMR1R1,0.618265092373
MG0152MGMR1R1,0.585556089878
MG0158MGMR1R1,0.572455942631
MG0164MGMR1R1,0.665645837784
MG0168MGMR1R1,0.681212723255
MG0172MGMR1R1,0.62022459507
MG0185MGMR1R1,0.629533171654
MG0187MGMR1R1,0.622083365917
MG0213MGMR1R1,0.630014717579
MG0218MGMR1R1,0.669436097145
MG0228MGMR1R1,0.732569158077
MG0231MGMR1R1,0.646187067032
MG0238MGMR1R1,0.618518650532
MG0239MGMR1R1,0.588137507439
MG0242MGMR1R1,0.625290751457
MG0246MGMR1R1,0.619652509689
MG0251MGMR1R1,0.623933494091
MG0256MGMR1R1,0.692724466324
MG0257MGMR1R1,0.643796861172
MG0261MGMR1R1,0.662290096283
MG0269MGMR1R1,0.624624073505
MG0270MGMR1R1,0.562821984291
TX0001TXMR1R1,0.525102257729
TX0005TXMR1R1,0.549261152744
TX0006TXMR1R1,0.576950132847
TX0010TXMR1R1,0.664414048195
TX0012TXMR1R1,0.608717978001
TX0014TXMR1R1,0.559326589108
TX0020TXMR1R1,0.675302922726
TX0031TXMR1R1,0.626197397709
TX0043TXMR1R1,0.599893689156
TX0046TXMR1R1,0.634192824364
TX0047TXMR1R1,0.572798371315
TX0050TXMR1R1,0.628054738045
TX0055TXMR1R1,0.602861821651
TX0059TXMR1R1,0.694403111935
TX0061TXMR1R1,0.59569299221
TX0066TXMR1R1,0.542984604836
TX0067TXMR1R1,0.588285803795
TX0068TXMR1R1,0.597391784191
TX0070TXMR1R1,0.599327623844
TX0071TXMR1R1,0.601711273193
